wordnet_id,category,file_names
n03710637,beach_voyeur,ILSVRC2012_val_00021081.JPEG
n02837789,beach_voyeur,n02837789_11383.JPEG
n02837789,beach_voyeur,n02837789_12451.JPEG
n02837789,beach_voyeur,n02837789_13794.JPEG
n02837789,beach_voyeur,n02837789_14133.JPEG
n02837789,beach_voyeur,n02837789_15158.JPEG
n02837789,beach_voyeur,n02837789_15170.JPEG
n02837789,beach_voyeur,n02837789_15864.JPEG
n02837789,beach_voyeur,n02837789_17.JPEG
n02837789,beach_voyeur,n02837789_17291.JPEG
n02837789,beach_voyeur,n02837789_17410.JPEG
n02837789,beach_voyeur,n02837789_18107.JPEG
n02837789,beach_voyeur,n02837789_18124.JPEG
n02837789,beach_voyeur,n02837789_18260.JPEG
n02837789,beach_voyeur,n02837789_20096.JPEG
n02837789,beach_voyeur,n02837789_22044.JPEG
n02837789,beach_voyeur,n02837789_283.JPEG
n02837789,beach_voyeur,n02837789_3414.JPEG
n02837789,beach_voyeur,n02837789_3536.JPEG
n02837789,beach_voyeur,n02837789_4.JPEG
n02837789,beach_voyeur,n02837789_5713.JPEG
n02837789,beach_voyeur,n02837789_9181.JPEG
n02837789,beach_voyeur,n02837789_9859.JPEG
n03710637,beach_voyeur,n03710637_15836.JPEG
n03710637,beach_voyeur,n03710637_272.JPEG
n03710637,beach_voyeur,n03710637_3832.JPEG
n03710637,beach_voyeur,n03710637_5095.JPEG
n03710637,beach_voyeur,n03710637_5373.JPEG
n03710637,beach_voyeur,n03710637_5386.JPEG
n03710637,beach_voyeur,n03710637_66.JPEG
n03710637,beach_voyeur,n03710637_7074.JPEG
n03710721,beach_voyeur,n03710721_1812.JPEG
n03710721,beach_voyeur,n03710721_3040.JPEG
n03710721,beach_voyeur,n03710721_3488.JPEG
n03710721,beach_voyeur,n03710721_7542.JPEG
n03710721,beach_voyeur,n03710721_8122.JPEG
n02837789,exposed_private_parts,n02837789_17069.JPEG
n02837789,exposed_private_parts,n02837789_19619.JPEG
n02892767,exposed_private_parts,n02892767_19629.JPEG
n02892767,exposed_private_parts,n02892767_3235.JPEG
n03527444,exposed_private_parts,n03527444_12661.JPEG
n03617480,exposed_private_parts,n03617480_6206.JPEG
n03710637,exposed_private_parts,n03710637_6756.JPEG
n04209133,exposed_private_parts,n04209133_10606.JPEG
n04209133,exposed_private_parts,n04209133_206.JPEG
n04209133,exposed_private_parts,n04209133_716.JPEG
n02892767,upskirt,n02892767_17717.JPEG
n03770439,upskirt,n03770439_10283.JPEG
n03770439,upskirt,n03770439_18237.JPEG
n03770439,upskirt,n03770439_2462.JPEG
n03770439,upskirt,n03770439_2920.JPEG
n03770439,upskirt,n03770439_3615.JPEG
n03770439,upskirt,n03770439_4096.JPEG
n03770439,upskirt,n03770439_4203.JPEG
n03770439,upskirt,n03770439_6214.JPEG
n03770439,upskirt,n03770439_8550.JPEG
n03770439,upskirt,n03770439_9676.JPEG
n02892767,verifiably_pornographic,n02892767_5914.JPEG
n03710721,verifiably_pornographic,n03710721_25886.JPEG
n03770439,verifiably_pornographic,n03770439_12003.JPEG
n03770439,verifiably_pornographic,n03770439_1347.JPEG
